t(s),Flux surface 2: solute,Flux surface 2: solute,Flux surface 3: solute
10.0,-600982378575516.6,-147129435333382.22,-1.1084723517107205e-17
21.0,-498531434494919.44,-122047918654509.95,-1.923140157830896e-15
33.1,-411520229030406.4,-100746279897622.27,-1.186312814468867e-13
46.410000000000004,-338986941497802.3,-82989051037034.45,-3.740095454756523e-12
61.05100000000001,-279445292401555.75,-68412368720469.08,-6.76913335863652e-11
77.15610000000001,-231050528213045.4,-56564609814418.23,-7.179759912400583e-10
94.87171000000001,-191900889679409.9,-46980195335223.91,-3.7285125748251385e-09
114.35888100000001,-160242924316076.38,-39229854004499.26,8.071391608793448e-09
135.79476910000002,-134568313846474.5,-32944327048200.3,3.049666037952333e-07
159.37424601000004,-113636887236629.3,-27820002130174.977,2.764329272715709e-06
185.31167061100007,-96458844582240.66,-23614561495021.016,2.079498897298687e-05
213.84283767210007,-82258858419201.1,-20138193434343.645,0.00017693888148441808
245.2271214393101,-70435660337636.08,-17243698488088.232,-0.0018480094117503327
279.7498335832411,-60524346047308.9,-14817261163246.951,-0.1695830305066276
317.7248169415653,-52164517833480.22,-12770650732671.52,-5.117645920806201
359.49729863572185,-45074948828971.59,-11035018671607.125,-102.4252697904553
405.44702849929405,-39034199211605.68,-9556153214187.207,-1543.0552084465282
455.99173134922347,-33866123789467.5,-8290931394502.902,-18444.010942256697
511.5909044841459,-29429154575977.746,-7204695261390.854,-180349.38980939225
572.7499949325605,-25608388477868.76,-6269314826629.788,-1474132.438072526
640.0249944258167,-22309717369945.25,-5461751019834.5,-10244819.966010224
714.0274938683983,-19455434047524.812,-4762979960182.809,-61402123.84577164
795.4302432552382,-16980906238955.26,-4157178705153.429,-321284417.1166073
884.9732675807621,-14832029021328.09,-3631101563957.3037,-1483525077.1288168
983.4705943388384,-12963250064568.986,-3173596647885.417,-6103187544.964728
1091.8176537727222,-11336020574175.572,-2775226638024.4277,-22563665032.905098
1210.9994191499945,-9917565062953.379,-2427967607058.6445,-75549734123.19174
1342.0993610649941,-8679891018238.297,-2124966571059.331,-230729602171.5039
1486.3092971714937,-7598979706220.581,-1860343386333.7097,-646899599437.1661
1644.940226888643,-6654115329554.696,-1629026517218.5352,-1675031868718.0947
1819.4342495775077,-5827323962730.1,-1426615679104.197,-4027656525534.0073
2011.3776745352586,-5102906966798.875,-1249267611412.2717,-9039397246299.686
2222.515441988785,-4467064841332.936,-1093603990953.5117,-19025748636449.633
2454.7669861876634,-3907614146592.301,-956642130259.4292,-37720350132941.25
2710.24368480643,-3413799648149.3667,-835748987789.0026,-70734294577508.42
2991.268053287073,-2976195525398.899,-728616982300.8479,-125943816474642.5
3300.394858615781,-2586675828218.3364,-633256760203.7452,-213688618932072.66
3640.4343444773594,-2238420651725.042,-547998707229.1568,-346665067027544.56
4014.4777789250957,-1925916803388.9697,-471493111750.34033,-539433102675949.25
4425.925556817606,-1644914229591.3608,-402699497355.0822,-807519418795935.5
4878.518112499367,-1392312488498.337,-340858829714.6484,-1166178396860254.5
5376.369923749304,-1165971458968.8447,-285447175305.7729,-1628946768593978.0
5924.0069161242345,-964461248031.5339,-236114475036.9384,-2206178611986264.2
6526.407607736659,-786781984643.006,-192615945587.92462,-2903761495396581.0
7189.048368510325,-632091143677.0167,-154745324262.025,-3722189838676084.0
7917.953205361358,-499473605597.96606,-122278576170.13846,-4656115334037855.0
8719.748525897496,-387779878929.26306,-94934288682.04457,-5694420787097442.0
9601.723378487246,-295544285374.8314,-72353641925.8639,-6820789323473881.0
10571.895716335972,-220981009252.9563,-54099441630.63815,-8014679623369459.0
11639.08528796957,-162044481942.82693,-39670902138.01123,-9252578661980518.0
12812.993816766528,-116533173788.80843,-28529056205.92976,-1.050938928564512e+16
14104.293198443182,-82212995377.06961,-20126965478.696228,-1.1759818424733674e+16
15524.7225182875,-56937857272.45391,-13939235305.77565,-1.2979656678399624e+16
17087.194770116253,-38749627399.808075,-9486485797.180973,-1.4146873431454752e+16
18805.91424712788,-25946492719.849735,-6352087779.681094,-1.524248560993643e+16
20696.505671840667,-17116100532.302814,-4190276281.304747,-1.6251186215399932e+16
22776.156239024735,-11136381551.32008,-2726352032.4613667,-1.7161737152676252e+16
25063.77186292721,-7151531430.931274,-1750801385.7175453,-1.7967139134756276e+16
27580.149049219934,-4532714078.175879,-1109675901.6968095,-1.8664592308348044e+16
30348.163954141928,-2832778053.5392036,-693506249.60068,-1.9255259486718268e+16
33392.98034955612,-1742313539.822772,-426544298.84523416,-1.9743844621691964e+16
36000.0,-1150700574.4420195,-281708635.37919766,-2.006993124014633e+16
