t(s),Flux surface 2: solute,Flux surface 3: solute
10.0,-131610311164480.12,-1335406604196133.5
21.0,-107685762847626.83,-9145325786592466.0
33.1,-85959354408374.98,-3.2818543646794384e+16
46.410000000000004,-66747721019936.46,-8.269376263189926e+16
61.05100000000001,-50261317589160.195,-1.653248462158697e+17
77.15610000000001,-36654423279547.05,-2.8071450343967514e+17
94.87171000000001,-25893963152503.47,-4.227131110579893e+17
114.35888100000001,-17741289120105.586,-5.814802192164108e+17
135.79476910000002,-11812118532656.223,-7.462970391646838e+17
159.37424601000004,-7660738093953.238,-9.07637222945857e+17
185.31167061100007,-4852545465338.75,-1.0582188226931254e+18
213.84283767210007,-3010165987451.434,-1.1932431206327368e+18
245.2271214393101,-1833092342524.2874,-1.3101561934104507e+18
279.7498335832411,-1097868026286.0751,-1.4082098526833075e+18
317.7248169415653,-647304807443.4865,-1.4879898982676052e+18
359.49729863572185,-375686003187.9429,-1.550989704270274e+18
405.44702849929405,-214387408876.38602,-1.5992531274681664e+18
455.99173134922347,-120041575356.29047,-1.6350865090630034e+18
511.5909044841459,-65770627707.961426,-1.6608331492775798e+18
572.7499949325605,-35151292831.5182,-1.6787046921901668e+18
640.0249944258167,-18265686658.833317,-1.690665822815145e+18
714.0274938683983,-9198122753.300224,-1.6983687161236316e+18
795.4302432552382,-4474655935.243388,-1.7031316208424663e+18
884.9732675807621,-2096553502.2240481,-1.7059530334348078e+18
983.4705943388384,-943378681.8723685,-1.707550615840969e+18
1091.8176537727222,-406537098.35133535,-1.7084133546406047e+18
1210.9994191499945,-167337195.01407805,-1.708856687898363e+18
1342.0993610649941,-65621172.91844188,-1.7090729772018437e+18
1486.3092971714937,-24455017.296296846,-1.7091729358516157e+18
1644.940226888643,-8639871.758678852,-1.7092166000637023e+18
1819.4342495775077,-2886909.718535693,-1.7092345890465795e+18
2011.3776745352586,-910226.04407249,-1.7092415639699843e+18
2222.515441988785,-270193.4551017148,-1.7092441039128904e+18
2454.7669861876634,-75352.89710311545,-1.7092449708481997e+18
2710.24368480643,-19701.62796509516,-1.709245247659322e+18
2991.268053287073,-4820.402101464023,-1.7092453301874294e+18
3300.394858615781,-1099.035541510943,-1.7092453531205084e+18
3640.4343444773594,-232.400077441359,-1.7092453590500388e+18
4014.4777789250957,-40.631761893551726,-1.7092453604742236e+18
4425.925556817606,-40.631761893551726,-1.7092453604742236e+18
4878.518112499367,-40.631761893551726,-1.7092453604742236e+18
5376.369923749304,-40.631761893551726,-1.7092453604742236e+18
5924.0069161242345,-40.631761893551726,-1.7092453604742236e+18
6526.407607736659,-40.631761893551726,-1.7092453604742236e+18
7189.048368510325,-40.631761893551726,-1.7092453604742236e+18
7917.953205361358,-40.631761893551726,-1.7092453604742236e+18
8719.748525897496,-40.631761893551726,-1.7092453604742236e+18
9601.723378487246,-40.631761893551726,-1.7092453604742236e+18
10571.895716335972,-40.631761893551726,-1.7092453604742236e+18
10800.0,-40.631761893551726,-1.7092453604742236e+18
