x,t=3.60e+02s,t=7.20e+02s,t=3.60e+03s,t=2.16e+04s
4.008016032064128148e-06,2.244248614571755451e+24,2.246139850782304970e+24,2.247733537269252908e+24,2.247887663468321759e+24
0.000000000000000000e+00,2.248244184648174872e+24,2.248244184648175946e+24,2.248244184648175409e+24,2.248244184648177020e+24
8.016032064128256296e-06,2.240253081600795450e+24,2.244035529839820400e+24,2.247222890275158402e+24,2.247531142288569576e+24
4.008016032064128148e-06,2.244248614571756524e+24,2.246139850782306044e+24,2.247733537269254787e+24,2.247887663468324980e+24
1.202404809619238529e-05,2.236257622840190844e+24,2.241931234743960734e+24,2.246712244050717472e+24,2.247174621109012279e+24
8.016032064128256296e-06,2.240253081600796523e+24,2.244035529839822011e+24,2.247222890275160549e+24,2.247531142288571724e+24
1.603206412825651259e-05,2.232262275393699979e+24,2.239826978417683684e+24,2.246201598980752478e+24,2.246818099929749454e+24
1.202404809619238529e-05,2.236257622840191381e+24,2.241931234743960465e+24,2.246712244050718278e+24,2.247174621109014158e+24
2.004008016032063989e-05,2.228267076363388178e+24,2.237722773783507806e+24,2.245690955450083361e+24,2.246461578750877472e+24
1.603206412825651259e-05,2.232262275393700248e+24,2.239826978417682074e+24,2.246201598980752746e+24,2.246818099929749991e+24
2.404809619238477058e-05,2.224272062849052484e+24,2.235618633763386328e+24,2.245180313843524696e+24,2.246105057572492163e+24
2.004008016032063989e-05,2.228267076363387373e+24,2.237722773783507001e+24,2.245690955450082019e+24,2.246461578750877204e+24
2.805611222444889788e-05,2.220277271947668951e+24,2.233514571278560319e+24,2.244669674545891594e+24,2.245748536394698486e+24
2.404809619238477058e-05,2.224272062849054363e+24,2.235618633763389549e+24,2.245180313843525233e+24,2.246105057572494311e+24
3.206412825651302519e-05,2.216282740752802625e+24,2.231410599249399238e+24,2.244159037941981181e+24,2.245392015217588783e+24
2.805611222444889788e-05,2.220277271947668682e+24,2.233514571278561124e+24,2.244669674545891594e+24,2.245748536394697950e+24
3.607214428857715587e-05,2.212288506354069599e+24,2.229306730595273966e+24,2.243648404416592462e+24,2.245035494041258616e+24
3.206412825651302519e-05,2.216282740752801283e+24,2.231410599249398701e+24,2.244159037941980108e+24,2.245392015217587441e+24
4.008016032064127979e-05,2.208294605836558531e+24,2.227202978234418290e+24,2.243137774354514242e+24,2.244678972865814555e+24
3.607214428857715587e-05,2.212288506354070941e+24,2.229306730595275309e+24,2.243648404416593268e+24,2.245035494041259958e+24
4.408817635270541048e-05,2.204301076280250022e+24,2.225099355083757641e+24,2.242627148140515728e+24,2.244322451691344377e+24
4.008016032064127979e-05,2.208294605836557188e+24,2.227202978234415337e+24,2.243137774354513168e+24,2.244678972865813481e+24
4.809619238476954117e-05,2.200307954759492092e+24,2.222995874058803066e+24,2.242116526159370694e+24,2.243965930517953579e+24
4.408817635270541048e-05,2.204301076280251095e+24,2.225099355083756836e+24,2.242627148140516265e+24,2.244322451691344646e+24
5.210420841683366508e-05,2.196315278342389758e+24,2.220892548073483185e+24,2.241605908795831435e+24,2.243609409345739869e+24
4.809619238476954117e-05,2.200307954759492092e+24,2.222995874058803335e+24,2.242116526159372304e+24,2.243965930517954384e+24
5.611222444889779577e-05,2.192323084090260108e+24,2.218789390039998160e+24,2.241095296434630117e+24,2.243252888174792370e+24
5.210420841683366508e-05,2.196315278342387074e+24,2.220892548073480501e+24,2.241605908795829825e+24,2.243609409345737722e+24
6.012024048096191968e-05,2.188331409057082012e+24,2.216686412868707225e+24,2.240584689460502126e+24,2.242896367005221140e+24
5.611222444889779577e-05,2.192323084090260108e+24,2.218789390039998966e+24,2.241095296434631191e+24,2.243252888174794518e+24
6.412825651302605037e-05,2.184340290288899118e+24,2.214583629467936482e+24,2.240074088258147950e+24,2.242539845837113419e+24
6.012024048096191968e-05,2.188331409057080402e+24,2.216686412868704004e+24,2.240584689460500247e+24,2.242896367005218992e+24
6.813627254509017428e-05,2.180349764823289157e+24,2.212481052743891394e+24,2.239563493212268884e+24,2.242183324670575778e+24
6.412825651302605037e-05,2.184340290288900729e+24,2.214583629467937556e+24,2.240074088258147950e+24,2.242539845837113419e+24
7.214428857715431175e-05,2.176359869688770164e+24,2.210378695600465657e+24,2.239052904707532131e+24,2.241826803505699215e+24
6.813627254509017428e-05,2.180349764823288621e+24,2.212481052743890857e+24,2.239563493212267274e+24,2.242183324670574167e+24
7.615230460921843566e-05,2.172370641904256089e+24,2.208276570939129265e+24,2.238542323128598453e+24,2.241470282342584931e+24
7.214428857715431175e-05,2.176359869688770164e+24,2.210378695600465389e+24,2.239052904707532131e+24,2.241826803505698141e+24
8.016032064128255957e-05,2.168382118478490668e+24,2.206174691658769860e+24,2.238031748860104449e+24,2.241113761181330636e+24
7.615230460921843566e-05,2.172370641904255552e+24,2.208276570939127117e+24,2.238542323128598453e+24,2.241470282342584126e+24
8.416833667334669704e-05,2.164394336409469483e+24,2.204073070655552077e+24,2.237521182286661758e+24,2.240757240022031894e+24
8.016032064128255957e-05,2.168382118478488252e+24,2.206174691658768249e+24,2.238031748860103912e+24,2.241113761181330099e+24
8.817635270541082095e-05,2.160407332683900403e+24,2.201971720822787083e+24,2.237010623792864836e+24,2.240400718864790172e+24
8.416833667334669704e-05,2.164394336409469214e+24,2.204073070655552077e+24,2.237521182286661489e+24,2.240757240022031894e+24
9.218436873747494487e-05,2.156421144276622157e+24,2.199870655050769632e+24,2.236500073763284250e+24,2.240044197709701303e+24
8.817635270541082095e-05,2.160407332683899866e+24,2.201971720822784935e+24,2.237010623792862957e+24,2.240400718864789635e+24
9.619238476953908233e-05,2.152435808150047326e+24,2.197769886226649224e+24,2.235989532582458622e+24,2.239687676556862191e+24
9.218436873747494487e-05,2.156421144276621888e+24,2.199870655050768559e+24,2.236500073763282639e+24,2.240044197709699692e+24
1.002004008016032062e-04,2.148451361253603733e+24,2.195669427234284337e+24,2.235479000634913691e+24,2.239331155406374306e+24
9.619238476953908233e-05,2.152435808150045447e+24,2.197769886226648150e+24,2.235989532582458891e+24,2.239687676556860849e+24
1.042084168336673302e-04,2.144467840523168578e+24,2.193569290954097746e+24,2.234968478305137881e+24,2.238974634258329720e+24
1.002004008016032062e-04,2.148451361253602659e+24,2.195669427234282190e+24,2.235479000634912080e+24,2.239331155406371353e+24
1.082164328657314541e-04,2.140485282880509826e+24,2.191469490262929954e+24,2.234457965977596531e+24,2.238618113112830707e+24
1.042084168336673302e-04,2.144467840523167504e+24,2.193569290954095599e+24,2.234968478305136270e+24,2.238974634258327572e+24
1.122244488977955915e-04,2.136503725232722222e+24,2.189370038033910342e+24,2.233947464036721965e+24,2.238261591969972831e+24
1.082164328657314541e-04,2.140485282880508484e+24,2.191469490262929685e+24,2.234457965977594384e+24,2.238618113112829365e+24
1.162324649298597154e-04,2.132523204471672436e+24,2.187270947136299870e+24,2.233436972866923150e+24,2.237905070829856218e+24
1.122244488977955915e-04,2.136503725232721416e+24,2.189370038033911147e+24,2.233947464036721428e+24,2.238261591969972294e+24
1.202404809619238394e-04,2.128543757473432667e+24,2.185172230435355784e+24,2.232926492852571473e+24,2.237548549692576431e+24
1.162324649298597154e-04,2.132523204471671363e+24,2.187270947136299334e+24,2.233436972866922613e+24,2.237905070829854876e+24
1.242484969939879633e-04,2.124565421097721753e+24,2.183073900792185851e+24,2.232416024378009868e+24,2.237192028558232522e+24
1.202404809619238394e-04,2.128543757473430788e+24,2.185172230435354979e+24,2.232926492852570936e+24,2.237548549692576162e+24
1.282565130260521007e-04,2.120588232187351396e+24,2.180975971063607438e+24,2.231905567827544492e+24,2.236835507426921397e+24
1.242484969939879633e-04,2.124565421097721216e+24,2.183073900792184777e+24,2.232416024378008257e+24,2.237192028558232253e+24
1.322645290581162382e-04,2.116612227567663788e+24,2.178878454102009529e+24,2.231395123585449021e+24,2.236478986298741035e+24
1.282565130260521007e-04,2.120588232187351665e+24,2.180975971063607169e+24,2.231905567827543686e+24,2.236835507426920860e+24
1.362725450901803486e-04,2.112637444045971382e+24,2.176781362755198918e+24,2.230884692035961163e+24,2.236122465173789951e+24
1.322645290581162382e-04,2.116612227567662714e+24,2.178878454102007919e+24,2.231395123585447679e+24,2.236478986298741035e+24
1.402805611222444860e-04,2.108663918411003652e+24,2.174684709866273770e+24,2.230374273563283459e+24,2.235765944052166662e+24
1.362725450901803486e-04,2.112637444045971919e+24,2.176781362755199723e+24,2.230884692035962237e+24,2.236122465173791293e+24
1.442885771543086235e-04,2.104691687432344450e+24,2.172588508273464710e+24,2.229863868551576305e+24,2.235409422933965656e+24
1.402805611222444860e-04,2.108663918411003116e+24,2.174684709866273501e+24,2.230374273563284264e+24,2.235765944052165856e+24
1.482965931863727339e-04,2.100720787859881176e+24,2.170492770810004635e+24,2.229353477384965202e+24,2.235052901819287060e+24
1.442885771543086235e-04,2.104691687432343377e+24,2.172588508273463368e+24,2.229863868551575768e+24,2.235409422933965119e+24
1.523046092184368713e-04,2.096751256423246967e+24,2.168397510303984824e+24,2.228843100447534312e+24,2.234696380708229659e+24
1.482965931863727339e-04,2.100720787859881444e+24,2.170492770810004366e+24,2.229353477384966007e+24,2.235052901819287865e+24
1.563126252505010088e-04,2.092783129831261285e+24,2.166302739578204088e+24,2.228332738123323503e+24,2.234339859600889283e+24
1.523046092184368713e-04,2.096751256423246967e+24,2.168397510303983482e+24,2.228843100447534312e+24,2.234696380708229659e+24
1.603206412825651191e-04,2.088816444771378273e+24,2.164208471450040448e+24,2.227822390796335333e+24,2.233983338497362033e+24
1.563126252505010088e-04,2.092783129831259943e+24,2.166302739578202746e+24,2.228332738123322161e+24,2.234339859600888209e+24
1.643286573146292566e-04,2.084851237909134859e+24,2.162114718731301892e+24,2.227312058850523235e+24,2.233626817397750183e+24
1.603206412825651191e-04,2.088816444771377737e+24,2.164208471450040180e+24,2.227822390796334527e+24,2.233983338497363375e+24
1.683366733466933941e-04,2.080887545887589988e+24,2.160021494228079805e+24,2.226801742669803598e+24,2.233270296302148221e+24
1.643286573146292566e-04,2.084851237909133248e+24,2.162114718731301355e+24,2.227312058850524040e+24,2.233626817397749377e+24
1.723446893787575044e-04,2.076925405326777556e+24,2.157928810740616901e+24,2.226291442638038856e+24,2.232913775210653322e+24
1.683366733466933941e-04,2.080887545887588646e+24,2.160021494228078731e+24,2.226801742669803329e+24,2.233270296302146611e+24
1.763527054108216419e-04,2.072964852823156115e+24,2.155836681063163073e+24,2.225781159139051714e+24,2.232557254123365880e+24
1.723446893787575044e-04,2.076925405326777019e+24,2.157928810740616901e+24,2.226291442638039124e+24,2.232913775210653322e+24
1.803607214428857794e-04,2.069005924949043815e+24,2.153745117983827214e+24,2.225270892556609848e+24,2.232200733040381459e+24
1.763527054108216419e-04,2.072964852823155041e+24,2.155836681063161999e+24,2.225781159139050640e+24,2.232557254123365612e+24
1.843687374749498897e-04,2.065048658252083952e+24,2.151654134284443005e+24,2.224760643274435568e+24,2.231844211961796963e+24
1.803607214428857794e-04,2.069005924949043010e+24,2.153745117983824799e+24,2.225270892556608774e+24,2.232200733040380117e+24
1.883767535070140272e-04,2.061093089254686620e+24,2.149563742740427441e+24,2.224250411676206893e+24,2.231487690887713861e+24
1.843687374749498897e-04,2.065048658252083684e+24,2.151654134284441931e+24,2.224760643274435837e+24,2.231844211961797232e+24
1.923847695390781647e-04,2.057139254453472783e+24,2.147473956120633469e+24,2.223740198145538491e+24,2.231131169818225838e+24
1.883767535070140272e-04,2.061093089254685278e+24,2.149563742740426367e+24,2.224250411676205819e+24,2.231487690887713593e+24
1.963927855711422750e-04,2.053187190318737132e+24,2.145384787187215765e+24,2.223230003066000468e+24,2.230774648753431945e+24
1.923847695390781647e-04,2.057139254453471172e+24,2.147473956120632396e+24,2.223740198145537148e+24,2.231131169818224227e+24
2.004008016032064125e-04,2.049236933293895112e+24,2.143296248695486046e+24,2.222719826821110051e+24,2.230418127693430968e+24
1.963927855711422750e-04,2.053187190318737400e+24,2.145384787187214959e+24,2.223230003066000737e+24,2.230774648753431945e+24
2.044088176352705228e-04,2.045288519794929676e+24,2.141208353393770804e+24,2.222209669794324604e+24,2.230061606638316589e+24
2.004008016032064125e-04,2.049236933293894575e+24,2.143296248695484435e+24,2.222719826821108709e+24,2.230418127693429357e+24
2.084168336673346603e-04,2.041341986209855217e+24,2.139121114023275207e+24,2.221699532369051295e+24,2.229705085588192425e+24
