t(s),Flux surface 2: solute,Flux surface 3: solute
10.0,-35012148.359844506,1.8136402190545528e-17
21.0,-35610621.790280044,-3.133647684845704e-17
33.1,-36249229.39916834,-5.4121296385035594e-18
46.410000000000004,-36929156.730233476,1.6730449323831852e-17
61.05100000000001,-37651413.18074083,1.4803590554891354e-17
77.15610000000001,-38416808.1771293,-9.75196518615049e-20
94.87171000000001,-39225930.14404077,-1.0828610181206688e-17
114.35888100000001,-40079129.27878501,-9.643989839038628e-18
135.79476910000002,-40976505.054070726,-8.125692322101535e-19
159.37424601000004,-41917899.20456167,6.31517667494081e-18
185.31167061100007,-42902894.712479234,6.201645994987179e-18
213.84283767210007,-43930821.009200566,8.441688329018497e-19
245.2271214393101,-45000765.278325714,-3.650483609323774e-18
279.7498335832411,-46111589.4127374,-3.4612937121211806e-18
317.7248169415653,-47261951.877910405,-1.2387044708963066e-19
359.49729863572185,-48450333.49687165,2.174262454467607e-18
405.44702849929405,-49675066.02031708,1.462881462689826e-18
455.99173134922347,-50934362.28672586,-4.881422414401099e-19
511.5909044841459,-52226346.80581062,-1.1157328744427585e-18
572.7499949325605,-53549085.69651795,-2.2323820311611694e-19
640.0249944258167,-54900615.05406689,5.220673759298197e-19
714.0274938683983,-56278966.98583041,2.776989650647278e-19
795.4302432552382,-57682192.72608996,-1.9130627405089133e-19
884.9732675807621,-59108382.406495035,-1.6124427150219066e-19
983.4705943388384,-60555681.22163372,6.901144766036959e-20
1091.8176537727222,-62022301.8900795,6.771365464071884e-20
1210.9994191499945,-63506533.47165978,-2.974035635920845e-20
1342.0993610649941,-65006746.75743524,-2.0409852503840808e-20
1486.3092971714937,-66521396.590114914,1.3316886376214204e-20
1644.940226888643,-68049021.58593184,2.789487441838137e-21
1819.4342495775077,-69588241.80137788,-4.3182189182470216e-21
2011.3776745352586,-71137754.91124834,7.948696472552072e-22
2222.515441988785,-72696331.43721189,6.081417814449336e-22
2454.7669861876634,-74262809.49571437,-5.733648046771144e-23
2710.24368480643,-75836089.43417658,1.78120692879468e-21
2991.268053287073,-77415128.61228172,1.8956041058937931e-22
3300.394858615781,-78998936.47744964,-1.7504964610274266e-20
3640.4343444773594,-80586569.99335776,-7.331760905189449e-21
4014.4777789250957,-82177129.41485055,9.418374178580268e-20
4425.925556817606,-83769754.36297338,-6.93397201552624e-21
4878.518112499367,-85363620.13664894,-3.0809653347723882e-19
5376.369923749304,-86957934.1964962,2.343086146595377e-19
5924.0069161242345,-88551932.76484631,5.11463457976083e-19
6526.407607736659,-90144877.49851142,-9.54603454736778e-19
7189.048368510325,-91736052.20347789,1.6361840360511037e-18
7917.953205361358,-93324759.57128266,-4.8942795323299106e-18
8719.748525897496,-94910317.92460276,-2.946766513340449e-15
9601.723378487246,-96492057.96455514,-1.7875111067419522e-13
10571.895716335972,-98069319.51475713,-6.9619189850065425e-12
11639.08528796957,-99641448.25784351,-1.883811403562152e-10
12812.993816766528,-101207792.45931381,-3.725813567166764e-09
14104.293198443182,-102767699.67165908,-5.634403109474606e-08
15524.7225182875,-104320513.40895098,-6.754878466860017e-07
17087.194770116253,-105865569.77866584,-6.604637899953195e-06
18805.91424712788,-107402194.05357628,-5.3868403032282366e-05
20696.505671840667,-108929697.16205324,-0.000373273965150665
22776.156239024735,-110447372.06990491,-0.0022311778971586143
25063.77186292721,-111954490.02048226,-0.011653118365551487
25200.0,-112043670.79098938,-0.012241587802900888
